Time_Sec,embb_Norm_availability,embb_Fault_availability,embb_Res_availability,embb_Norm_throughput,embb_Fault_throughput,embb_Res_throughput,embb_Norm_blocking,embb_Fault_blocking,embb_Res_blocking,embb_Norm_connected_count,embb_Fault_connected_count,embb_Res_connected_count,urllc_Norm_availability,urllc_Fault_availability,urllc_Res_availability,urllc_Norm_throughput,urllc_Fault_throughput,urllc_Res_throughput,urllc_Norm_blocking,urllc_Fault_blocking,urllc_Res_blocking,urllc_Norm_connected_count,urllc_Fault_connected_count,urllc_Res_connected_count,mmtc_Norm_availability,mmtc_Fault_availability,mmtc_Res_availability,mmtc_Norm_throughput,mmtc_Fault_throughput,mmtc_Res_throughput,mmtc_Norm_blocking,mmtc_Fault_blocking,mmtc_Res_blocking,mmtc_Norm_connected_count,mmtc_Fault_connected_count,mmtc_Res_connected_count
0,0.0,0.26903553299492383,0.26903553299492383,0.0,0.0,0.0,0.0,0.05357142857142857,0.05357142857142857,0,53,53,0.0,0.2830188679245283,0.2830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,0,30,30,0.0,0.20304568527918782,0.20304568527918782,0.0,0.0,0.0,0.0,0.0,0.0,0,40,40
1,0.38578680203045684,0.40609137055837563,0.40609137055837563,0.0,36.4,48.835761,0.3090909090909091,0.8536585365853658,0.8536585365853658,76,80,80,0.46226415094339623,0.6981132075471698,0.6981132075471698,0.0,2.023456,2.06313853968254,0.0,0.030303030303030304,0.0,49,74,74,0.4467005076142132,0.5888324873096447,0.5989847715736041,0.0,0.423295,0.469962,0.011235955056179775,0.2577777777777778,0.21182266009852216,88,116,118
2,0.40609137055837563,0.40609137055837563,0.40609137055837563,45.5,36.044953,48.697914,0.9748743718592965,0.98989898989899,0.8909090909090909,80,80,80,0.5377358490566038,0.6981132075471698,0.6792452830188679,0.5927557936507936,2.756925555555555,2.616769571428571,0.047058823529411764,0.0,0.0,57,74,72,0.5786802030456852,0.6192893401015228,0.6700507614213198,0.34122,0.440076,0.502358,0.2903225806451613,0.19339622641509435,0.14646464646464646,114,122,132
3,0.40609137055837563,0.40609137055837563,0.39086294416243655,42.585005,33.695289,34.184008,0.9850746268656716,0.9292452830188679,0.9074889867841409,80,80,77,0.5566037735849056,0.660377358490566,0.6792452830188679,2.1800813174603175,1.949032111111111,1.981387303030303,0.020202020202020204,0.03125,0.0,59,70,72,0.6345177664974619,0.6294416243654822,0.6954314720812182,0.478235,0.57666,0.504223,0.2807017543859649,0.20187793427230047,0.04864864864864865,125,124,137
4,0.40609137055837563,0.40609137055837563,0.39593908629441626,37.238971,27.75294,33.773944,0.9395348837209302,0.8973214285714286,0.9136363636363637,80,80,78,0.5660377358490566,0.7075471698113207,0.7169811320754716,2.043698888888889,2.3763589999999994,2.530475,0.0,0.0,0.0,60,75,76,0.700507614213198,0.6243654822335025,0.7258883248730964,0.533028,0.635387,0.639901,0.22429906542056074,0.1722488038277512,0.0374331550802139,138,123,143
5,0.40609137055837563,0.40609137055837563,0.4010152284263959,25.481348,25.322939,34.020939,0.9004524886877828,0.9351851851851852,0.8620689655172413,80,80,79,0.5660377358490566,0.7075471698113207,0.7169811320754716,1.891053,2.956416,2.9975493434343434,0.0,0.0,0.0,60,75,76,0.7461928934010152,0.6243654822335025,0.7309644670050761,0.699577,0.67375,0.680749,0.22380952380952382,0.1822429906542056,0.016483516483516484,147,123,144
6,0.40609137055837563,0.4010152284263959,0.40609137055837563,19.667729666666666,23.899548666666668,37.968312,0.8959276018099548,0.8859649122807017,0.8981481481481481,80,79,80,0.5943396226415094,0.6981132075471698,0.7169811320754716,1.465718,2.473336,2.340356888888889,0.0,0.010101010101010102,0.0,63,74,76,0.7461928934010152,0.6345177664974619,0.7157360406091371,0.841351,0.655232,0.640913,0.22815533980582525,0.17289719626168223,0.00558659217877095,147,125,141
7,0.40609137055837563,0.39593908629441626,0.4010152284263959,19.58718,26.505973,34.348335,0.8831168831168831,0.8834080717488789,0.8904109589041096,80,78,79,0.6037735849056604,0.6981132075471698,0.6981132075471698,2.0332180317460318,2.7524914285714286,2.7762539538239537,0.0,0.0,0.0,64,74,74,0.7208121827411168,0.6446700507614214,0.6954314720812182,0.927484,0.759183,0.693535,0.215,0.16587677725118483,0.011235955056179775,142,127,137
8,0.40609137055837563,0.39086294416243655,0.4010152284263959,21.019076,28.245972,34.940732,0.919047619047619,0.9516908212560387,0.8909090909090909,80,77,79,0.6037735849056604,0.7358490566037735,0.7264150943396226,2.494092,2.6414200317460317,2.4182994761904757,0.0,0.0,0.0,64,78,77,0.6852791878172588,0.6243654822335025,0.6802030456852792,0.957476,0.80458,0.715103,0.19696969696969696,0.15865384615384615,0.022222222222222223,135,123,134
9,0.40609137055837563,0.38578680203045684,0.39593908629441626,19.930061,28.10398766666667,36.950928,0.92018779342723,0.9144144144144144,0.9136363636363637,80,76,78,0.6132075471698113,0.7358490566037735,0.7452830188679245,1.9427396825396823,2.6877904285714287,2.6077877922077923,0.0,0.01020408163265306,0.0,65,78,79,0.6243654822335025,0.6192893401015228,0.6751269035532995,1.029148,0.843197,0.715137,0.22439024390243903,0.15639810426540285,0.021739130434782608,123,122,133
