Time_Sec,embb_Norm_availability,embb_Fault_availability,embb_Res_availability,embb_Norm_throughput,embb_Fault_throughput,embb_Res_throughput,embb_Norm_blocking,embb_Fault_blocking,embb_Res_blocking,embb_Norm_connected_count,embb_Fault_connected_count,embb_Res_connected_count,urllc_Norm_availability,urllc_Fault_availability,urllc_Res_availability,urllc_Norm_throughput,urllc_Fault_throughput,urllc_Res_throughput,urllc_Norm_blocking,urllc_Fault_blocking,urllc_Res_blocking,urllc_Norm_connected_count,urllc_Fault_connected_count,urllc_Res_connected_count,mmtc_Norm_availability,mmtc_Fault_availability,mmtc_Res_availability,mmtc_Norm_throughput,mmtc_Fault_throughput,mmtc_Res_throughput,mmtc_Norm_blocking,mmtc_Fault_blocking,mmtc_Res_blocking,mmtc_Norm_connected_count,mmtc_Fault_connected_count,mmtc_Res_connected_count
0,0.0,0.288135593220339,0.288135593220339,0.0,0.0,0.0,0.0,0.0,0.0,0,34,34,0.0,0.2711864406779661,0.2711864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0,16,16,0.0,0.13821138211382114,0.13821138211382114,0.0,0.0,0.0,0.0,0.0,0.0,0,17,17
1,0.4745762711864407,0.7542372881355932,0.7627118644067796,0.0,31.534849530261088,31.186526575897844,0.034482758620689655,0.3522727272727273,0.3522727272727273,56,89,90,0.5254237288135594,0.6779661016949152,0.6610169491525424,0.0,2.202485,2.143382,0.0,0.0,0.0,31,40,39,0.4796747967479675,0.6666666666666666,0.6747967479674797,0.0,0.55084,0.527415,0.0,0.0423728813559322,0.05042016806722689,59,82,83
2,0.7627118644067796,0.7627118644067796,0.7627118644067796,33.568704818018205,29.828966822548416,29.80813984313811,0.5384615384615384,0.9696969696969697,0.9696969696969697,90,90,90,0.576271186440678,0.6610169491525424,0.6610169491525424,0.014218838143050671,2.054312,2.447687063571751,0.0,0.0,0.0,34,39,39,0.5284552845528455,0.6747967479674797,0.6829268292682927,0.081972,0.509759,0.541854,0.072,0.03361344537815126,0.03361344537815126,65,83,84
3,0.7627118644067796,0.7288135593220338,0.7372881355932204,31.09321023237277,26.859283892808364,28.406634854066937,0.9696969696969697,0.6976744186046512,0.7142857142857143,90,86,87,0.576271186440678,0.6610169491525424,0.6610169491525424,0.308482,1.8156178381430508,2.966267,0.0,0.0,0.0,34,39,39,0.5609756097560976,0.6829268292682927,0.6829268292682927,0.136781,0.494692,0.595602,0.040983606557377046,0.008620689655172414,0.008620689655172414,69,84,84
4,0.7627118644067796,0.7542372881355932,0.7457627118644068,29.50994220787155,26.51520121184277,26.299776599557386,0.66,0.6037735849056604,0.6521739130434783,90,89,88,0.5932203389830508,0.6610169491525424,0.6610169491525424,0.4952498497293857,2.111965,2.8550344682141247,0.0,0.0,0.0,35,39,39,0.5691056910569106,0.6829268292682927,0.6829268292682927,0.198714,0.573511,0.637959,0.02564102564102564,0.0,0.008620689655172414,70,84,84
5,0.7711864406779662,0.7627118644067796,0.7542372881355932,27.691103280475538,24.016515139051617,23.916151272650783,0.6666666666666666,0.5409836065573771,0.5454545454545454,91,90,89,0.6271186440677966,0.6610169491525424,0.6779661016949152,1.2100251502706143,2.3633898381430507,2.555521546975821,0.0,0.0,0.0,37,39,40,0.5691056910569106,0.6829268292682927,0.6585365853658537,0.206407,0.607973,0.647433,0.03389830508474576,0.008695652173913044,0.0,70,84,81
6,0.7627118644067796,0.7457627118644068,0.7542372881355932,24.88422292095948,24.54205485983016,26.29093329431797,0.6363636363636364,0.6326530612244898,0.6458333333333334,90,88,89,0.6440677966101694,0.6440677966101694,0.6779661016949152,0.5427059999999998,1.644116,2.8652405165959305,0.0,0.0,0.0,38,38,40,0.5691056910569106,0.6910569105691057,0.6666666666666666,0.252937,0.545912,0.645763,0.008695652173913044,0.0,0.0,70,85,82
7,0.7627118644067796,0.7542372881355932,0.7457627118644068,24.25045099497979,26.511252798630633,29.567425642476987,0.5483870967741935,0.6041666666666666,0.6140350877192983,90,89,88,0.6440677966101694,0.6779661016949152,0.6949152542372882,0.8025509999999998,1.8026880751353072,2.8265555317858757,0.0,0.0,0.0,38,40,41,0.5853658536585366,0.6747967479674797,0.6829268292682927,0.282669,0.475093,0.602121,0.008547008547008548,0.0,0.0,72,83,84
8,0.7457627118644068,0.7627118644067796,0.7796610169491526,27.265271716794157,27.06623702452928,29.14143072365453,0.5,0.52,0.6530612244897959,88,90,92,0.6610169491525424,0.6949152542372882,0.6949152542372882,0.9629531618569491,1.656798,3.4671054682141245,0.0,0.0,0.0,39,41,41,0.5853658536585366,0.6666666666666666,0.6747967479674797,0.292133,0.575349,0.739336,0.0,0.008620689655172414,0.0,72,82,83
9,0.7796610169491526,0.788135593220339,0.7627118644067796,27.525943424557916,29.17749743369016,28.84932538733554,0.6904761904761905,0.6363636363636364,0.7209302325581395,92,93,90,0.6610169491525424,0.6949152542372882,0.711864406779661,1.1864159248646926,2.001355,4.074923,0.0,0.0,0.0,39,41,42,0.5853658536585366,0.6585365853658537,0.6829268292682927,0.276848,0.511755,0.744665,0.0,0.0,0.0,72,81,84
