Time_Sec,embb_Norm_availability,embb_Fault_availability,embb_Res_availability,embb_Norm_throughput,embb_Fault_throughput,embb_Res_throughput,embb_Norm_blocking,embb_Fault_blocking,embb_Res_blocking,embb_Norm_connected_count,embb_Fault_connected_count,embb_Res_connected_count,urllc_Norm_availability,urllc_Fault_availability,urllc_Res_availability,urllc_Norm_throughput,urllc_Fault_throughput,urllc_Res_throughput,urllc_Norm_blocking,urllc_Fault_blocking,urllc_Res_blocking,urllc_Norm_connected_count,urllc_Fault_connected_count,urllc_Res_connected_count,mmtc_Norm_availability,mmtc_Fault_availability,mmtc_Res_availability,mmtc_Norm_throughput,mmtc_Fault_throughput,mmtc_Res_throughput,mmtc_Norm_blocking,mmtc_Fault_blocking,mmtc_Res_blocking,mmtc_Norm_connected_count,mmtc_Fault_connected_count,mmtc_Res_connected_count
0,0.0,0.21354166666666666,0.21354166666666666,0.0,0.0,0.0,0.0,0.1276595744680851,0.1276595744680851,0,41,41,0.0,0.17142857142857143,0.17142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0,18,18,0.0,0.22660098522167488,0.22660098522167488,0.0,0.0,0.0,0.0,0.0,0.0,0,46,46
1,0.3802083333333333,0.4166666666666667,0.4166666666666667,0.0,32.2,34.16,0.22340425531914893,0.78125,0.7846153846153846,73,80,80,0.4,0.6761904761904762,0.6571428571428571,0.0,2.9238174285714287,2.861682,0.0,0.039603960396039604,0.0392156862745098,42,71,69,0.39901477832512317,0.5665024630541872,0.5467980295566502,0.0,0.469075,0.471916,0.047058823529411764,0.19696969696969696,0.19796954314720813,81,115,111
2,0.4166666666666667,0.4166666666666667,0.4166666666666667,44.1,28.91891233333333,32.293558,0.9547738693467337,0.9739583333333334,0.958974358974359,80,80,80,0.44761904761904764,0.7238095238095238,0.6571428571428571,0.694848,2.437705,2.837545,0.043478260869565216,0.0,0.01020408163265306,47,76,69,0.49261083743842365,0.5714285714285714,0.5517241379310345,0.107992,0.569351,0.656809,0.248868778280543,0.2383177570093458,0.24423963133640553,100,116,112
3,0.4166666666666667,0.4166666666666667,0.4114583333333333,42.500782,26.318835,24.998086,1.0,0.9061032863849765,0.9014084507042254,80,80,79,0.47619047619047616,0.7333333333333333,0.6571428571428571,2.101935,2.524887142857143,2.913838,0.0,0.0,0.0,50,77,69,0.5517241379310345,0.5615763546798029,0.5615763546798029,0.305428,0.611296,0.593158,0.21359223300970873,0.20754716981132076,0.19230769230769232,112,114,114
4,0.4166666666666667,0.4166666666666667,0.4166666666666667,34.738229,26.925284,23.4885,0.92018779342723,0.9353233830845771,0.926829268292683,80,80,80,0.5523809523809524,0.6952380952380952,0.6476190476190476,1.889368111111111,2.010515285714286,2.58863,0.0,0.0,0.0,58,73,68,0.5812807881773399,0.5665024630541872,0.5615763546798029,0.331477,0.604475,0.652864,0.21904761904761905,0.18536585365853658,0.23113207547169812,118,115,114
5,0.4166666666666667,0.40625,0.4114583333333333,26.850434,24.943087,22.814683,0.9330143540669856,0.9052132701421801,0.9278846153846154,80,78,79,0.5714285714285714,0.6571428571428571,0.6476190476190476,2.079131142857143,1.7266775714285714,2.832044,0.0,0.0,0.0,60,69,68,0.5862068965517241,0.5615763546798029,0.5566502463054187,0.354228,0.675308,0.710187,0.20388349514563106,0.17412935323383086,0.21844660194174756,119,114,113
6,0.4166666666666667,0.4166666666666667,0.40625,20.16671,23.493049,25.137808666666665,0.933649289099526,0.8622222222222222,0.883177570093458,80,80,78,0.5714285714285714,0.6666666666666666,0.6761904761904762,2.739400253968254,2.27361453968254,2.78427,0.0,0.010869565217391304,0.0,60,70,71,0.6059113300492611,0.5615763546798029,0.5517241379310345,0.456528,0.757882,0.78186,0.19487179487179487,0.14871794871794872,0.18686868686868688,123,114,112
7,0.40625,0.4114583333333333,0.4114583333333333,15.059553666666668,26.243374,26.020526,0.8658008658008658,0.9441624365482234,0.9130434782608695,78,79,79,0.5619047619047619,0.6761904761904762,0.6761904761904762,2.6343584603174603,2.448161142857143,2.702655,0.0,0.0,0.0,59,71,71,0.6157635467980296,0.5517241379310345,0.5517241379310345,0.576937,0.626735,0.754714,0.18811881188118812,0.13,0.15841584158415842,125,112,112
8,0.4166666666666667,0.40625,0.4114583333333333,13.845230333333332,22.761279,24.266249,0.9252336448598131,0.9241706161137441,0.9047619047619048,80,78,79,0.580952380952381,0.6285714285714286,0.6857142857142857,3.053097,2.6775710000000004,2.527671,0.0,0.0,0.0,61,66,72,0.5911330049261084,0.541871921182266,0.5566502463054187,0.686652,0.613544,0.708036,0.16080402010050251,0.15577889447236182,0.1932367149758454,120,110,113
9,0.4114583333333333,0.4166666666666667,0.4166666666666667,20.384535666666668,20.200265,26.658811,0.9117647058823529,0.8933333333333333,0.9154929577464789,79,80,80,0.6285714285714286,0.6476190476190476,0.6571428571428571,3.007989888888889,2.6212198888888896,2.89973,0.0,0.0,0.0,66,68,69,0.5714285714285714,0.5517241379310345,0.5615763546798029,0.67355,0.591077,0.669688,0.17475728155339806,0.155,0.165,116,112,114
